No.;Nombre archivo;Fecha;Titular;Periodico;Fecha Periodico;URL;Derecho PPal;Otros Derechos;SubDerechos;EP
45;EN   (29.09.2018)  1.2.1.  1.3.2..pdf;29.09.2018;Guanipa tras ser liberado: Nos golpearon sin ninguna razón;EN;29/9/2018;http://www.el-nacional.com/noticias/oposicion/guanipa-tras-ser-liberado-nos-golpearon-sin-ninguna-razon_253714;1.2;1.3;1.2.1, 1.3.2;NO
46;EN   (18.10.2018)   EP    2.3.4..pdf;18.10.2018;Habitantes de Barquisimeto protestan por sus derechos laborales;EN;18/10/2018;http://www.el-nacional.com/noticias/protestas/habitantes-barquisimeto-protestan-por-sus-derechos-laborales_256265;2.3;;2.3.4;SI
47;EN  (24.09.2018)  EP  2.1.1.    Médicos y enfermeras del HUC protestan por tener cinco días sin agua.pdf;24.09.2018;Médicos y enfermeras del HUC protestan por tener cinco días sin agua;EN;24/9/2018;http://www.el-nacional.com/noticias/protestas/medicos-enfermeras-del-huc-protestan-por-tener-cinco-dias-sin-agua_252976;2.1;;2.1.1;SI
48;EN   (19.11.2018)   EP    2.2.1..pdf;19.11.2018;Profesores y personal de la ULA exigieron seguridad en la institución;EN;20/11/2018;http://www.el-nacional.com/noticias/protestas/profesores-personal-ula-exigieron-seguridad-institucion_260297;2.2;;2.2.1;SI
49;EN  (28.09.2018)   EP   2.3.1..pdf;28.09.2018;Personal del Metro de Caracas interrumpió protesta de comité de usuarios;EN;28/9/2018;http://www.el-nacional.com/noticias/protestas/personal-del-metro-caracas-interrumpio-protestade-comite-usuarios_253560;2.3;;2.3.1;SI
50;EN    (02.12.2018)    EP   2.8.1..pdf;02.12.2018;Vecinos en Zulia protestan por bote de aguas negras en el sector Juan Ávila;EN;3/12/2018;http://www.el-nacional.com/noticias/protestas/vecinos-zulia-protestan-por-bote-aguas-negras-sector-juan-avila_261924;2.8;;2.8.1;SI
51;EU (19-08.2018) 2.1.2.   Ministerio de Salud_ 16 toneladas de medicamentos llegan al país para más de 400 mil pacientes.pdf;19-08.2018;Ministerio de Salud: 16 toneladas de medicamentos llegan al país para más de 400 mil pacientes;EU;19/9/2018;http://www.eluniversal.com/economia/21064/ministerio-de-salud-16-toneladas-de-medicamentos-llegan-al-pais-para-mas-de-400-mil-pacientes;2.1;;2.1.2;NO
52;EN   (21.10.2018)  EP   1.2.2.    Espacio Público_ Más de 17 personas han sido detenidas por tuitear.pdf;21.10.2018;Espacio Público: Más de 17 personas han sido detenidas por tuitear;EN;21/10/2018;http://www.el-nacional.com/noticias/sociedad/espacio-publico-mas-personas-han-sido-detenidas-por-tuitear_256609;1.2;17;1.2.2;SI
53;EN  (20.11.2018)   2.9.1.   3.2.1..pdf;20.11.2018;Pemones abandonaron sus trabajos como guías turísticos para buscar oro;EN;20/11/2018;http://www.el-nacional.com/noticias/economia/pemones-abandonaron-sus-trabajos-como-guias-turisticos-para-buscar-oro_260487;2.9;3.2;2.9.1, 3.2.1;NO
54;EN  (19.10.2018)   3.2.1.   2.8.1..pdf;19.10.2018;Vecinos de Chacao se organizan ante las malas condiciones del agua;EN;19/10/2018;http://www.el-nacional.com/noticias/servicios/vecinos-chacao-organizan-ante-las-malas-condiciones-del-agua_256205;3.2;2.8;3.2.1, 2.8.1;NO
55;EN   (03.12.2018)   EP   2.3.4..pdf;03.12.2018;Docentes de Guárico protestan por mejoras salariales;EN;3/12/2018;http://www.el-nacional.com/noticias/protestas/docentes-guarico-protestan-por-mejoras-salariales_261928;2.3;;2.3.4;SI
56;EU   (05.10.2018)    EP    2.3.4..pdf;05.10.2018;Gremios consignaron documento en la Inspectoría del Trabajo para exigir mejoras salariales;EU;5/10/2018;http://www.eluniversal.com/politica/22442/diversos-gremios-entregaron-documento-a-inspectoria-del-trabajo;2.3;;2.3.4;SI
57;EN   (24.11.2018)   1.2.1.3..pdf;24.11.2018;135 venezolanos están detenidos en Trinidad y Tobago;EN;24/11/2018;http://www.el-nacional.com/noticias/mundo/135-venezolanos-estan-detenidos-trinidad-tobago_260972;1.2;;1.2.1.3;NO
58;EN   (17.11.2018)   1.2.2.   1.3.1..pdf;17.11.2018;Denunciaron torturas al capitán Caguaripano durante su audiencia previa;EN;17/11/2018;http://www.el-nacional.com/noticias/presos-politicos/denunciaron-torturas-capitan-caguaripano-durante-audiencia-previa_260099;1.2;1.3;1.2.2, 1.3.1;NO
59;EN  (03.10.2018)  1.2.2.   1.10.1.pdf;03.10.2018;Jueza militar que huyó a Colombia pidió perdón a Gilber Caro;EN;3/10/2018;http://www.el-nacional.com/noticias/politica/jueza-militar-que-huyo-colombia-pidio-perdon-gilber-caro_254099;1.2;1.10;1.2.2, 1.10.1;NO
60;EN  (16.10.2018)  EP  2.3.4..pdf;16.10.2018;Trabajadores del IND protestan para rechazar reducción de tabla salarial;EN;17/10/2018;http://www.el-nacional.com/noticias/protestas/trabajadores-del-ind-protestan-para-rechazar-reduccion-tabla-salarial_255945;2.3;;2.3.4;SI
61;EN  (06.10.20180       2.9.1.   2.10.1..pdf;06.10.20180;110 yupkas dejaron la Sierra de Perijá y se instalaron en Cúcuta;EN;6/10/2018;http://www.el-nacional.com/noticias/sociedad/110-yupkas-dejaron-sierra-perija-instalaron-cucuta_254636;2.9;2.10;2.9.1, 2.10.1;NO
62;EU  (02.10.2018)   EP   2.3.1..pdf;02.10.2018;Denuncian que no hay transporte en urbanización Nueva Casarapa de Guarenas;EU;2/10/2018;http://www.eluniversal.com/caracas/22031/denuncian-que-no-hay-transporte-en-urbanizacion-nueva-casarapa-de-guarenas;2.3;;2.3.1;SI
63;EN  (23.11.2018)   CONTEXTO  1.10.1.pdf;23.11.2018;España accedió a extraditar al guardaespaldas de Chávez a Venezuela;EN;23/11/2018;http://www.el-nacional.com/noticias/politica/espana-accedio-extraditar-guardaespaldas-chavez-venezuela_260856;CONTEXTO;1.10;1.10.1;NO
64;EN (16.09.2018)  1.10.1.  5.  El País_ El olvido de los muertos en las protestas contra Nicolás Maduro.pdf;16.09.2018;El País: El olvido de los muertos en las protestas contra Nicolás Maduro;EN;16/9/2018;http://www.el-nacional.com/noticias/sociedad/pais-olvido-los-muertos-las-protestas-contra-nicolas-maduro_251949;1.10;5;1.10.1;NO
65;EN  (04.12.2018)  EP    2.2.1..pdf;04.12.2018;Estudiantes del Pedagógico de Caracas exigieron condiciones dignas;EN;4/12/2018;http://www.el-nacional.com/noticias/sociedad/estudiantes-del-pedagogico-caracas-exigieron-condiciones-dignas_262032;2.2;;2.2.1;SI
66;EN  (13.11.2018)   12.  CONTEXTO.pdf;13.11.2018;José Virtuoso: “La sociedad tiene que defender la Constitución”;EN;13/11/2018;http://www.el-nacional.com/noticias/politica/jose-virtuoso-sociedad-tiene-que-defender-constitucion_259602;12;CONTEXTO;;NO
67;EU   (02.12.2018)   CONTEXTO.pdf;02.12.2018;Curcio: la expansión monetaria no causa la hiperinflación;EU;2/12/2018;http://www.eluniversal.com/economia/27222/curcio-la-expansion-monetaria-no-causa-la-hiperinflacion;CONTEXTO;;;NO
68;EN   (21.101.2018)   EP   2.8.1..pdf;21.101.2018;Protestan en una parroquia de Charallave por tener cuatro días sin luz;EN;21/10/2018;http://www.el-nacional.com/noticias/protestas/protestan-una-parroquia-charallave-por-tener-cuatro-dias-sin-luz_256638;2.8;;2.8.1;SI
69;EU (19.09.2018)  EP  2.8.1.  Protesta en la Caracas-La Guaira mantiene bloqueada esta arteria vial.pdf;19.09.2018;Protesta en la Caracas-La Guaira mantiene bloqueada esta arteria vial;EU;19/9/2018;http://www.eluniversal.com/caracas/21061/protesta-en-la-caracasla-guaira-mantiene-bloqueada-esta-arteria-vial;2.8;;2.8.1;SI
70;EN   (21.11.2018)    EP  1.3.2.1..pdf;21.11.2018;Estudiante de la UCV resultó herida durante represión;EN;21/11/2018;http://www.el-nacional.com/noticias/protestas/estudiante-ucv-resulto-herida-durante-represion_260594;1.3;;1.3.2.1;SI
71;EN   (19.11.2018)    EP    2.1.1.   2.10.1.pdf;19.11.2018;Sector Salud protesta en Zulia por altos índices de desnutrición infantil;EN;20/11/2018;http://www.el-nacional.com/noticias/protestas/sector-salud-protesta-zulia-por-altos-indices-desnutricion-infantil_260417;2.1;2.10;2.1.1, 2.10.1;SI
72;EU   (16.101.2018)  3.2.1.   1.10.1..pdf;16.101.2018;Denuncian masacre de 16 personas en Bolívar por enfrentamiento entre banda y el ELN;EU;17/10/2018;http://www.eluniversal.com/el-universal/23401/denuncian-masacre-de-16-personas-en-bolivar-por-enfrentamiento-entre-banda-y-el-eln;3.2;1.10;3.2.1, 1.10.1;NO
73;EN   (03.12.2018)    EP   2.3.5..pdf;03.12.2018;Enfermeros del Iahula en Mérida no perciben salarios desde hace siete meses;EN;3/12/2018;http://www.el-nacional.com/noticias/sociedad/enfermeros-del-iahula-merida-perciben-salarios-desde-hace-siete-meses_261902;2.3;;2.3.5;SI
74;EN   (22.11.2018)   EP   2.3.4.   2.2.1..pdf;22.11.2018;Empleados de la ULA protestaron para exigir mejoras salariales;EN;22/11/2018;http://www.el-nacional.com/noticias/protestas/empleados-ula-protestaron-para-exigir-mejoras-salariales_260704;2.3;2.2;2.3.4, 2.2.1;SI
75;EN  (09.10.2018)  1.1.1.3.   1.2.2..pdf;09.10.2018;Los presos políticos que han muerto en las instalaciones del Sebin;EN;9/10/2018;http://www.el-nacional.com/noticias/presos-politicos/los-presos-politicos-que-han-muerto-las-instalaciones-del-sebin_254931;1.1;1.2;1.1.1.3, 1.2.2;NO
76;EU   (14.101.2018)   CONTEXTO   18..pdf;14.101.2018;Delegado de Acnur y OIM para el éxodo venezolano llega mañana a Colombia;EU;14/10/2018;http://www.eluniversal.com/politica/23173/delegado-de-acnur-y-oim-para-el-exodo-venezolano-llega-manana-a-colombia;CONTEXTO;18;;NO
77;EN   (12-10-2018)   1.2.2.    1.3.2.1..pdf;12-10-2018;Denuncian que el general Baduel tiene 10 semanas aislado;EN;12/10/2018;http://www.el-nacional.com/noticias/presos-politicos/denuncian-que-general-baduel-tiene-semanas-aislado_255472;1.2;1.3;1.2.2, 1.3.2.1;NO
78;EN  (03.12.2018)  2.1.1.  18..pdf;03.12.2018;La OMS señala que sistema sanitario venezolano se redujo 20%;EN;4/12/2018;http://www.el-nacional.com/noticias/mundo/oms-senala-que-sistema-sanitario-venezolano-redujo_261993;2.1;18;2.1.1;NO
79;EN   (19.10.2018)   2.2.1.   Sustitutos que despiertan dudas.pdf;19.10.2018;Sustitutos que despiertan dudas;EN;19/10/2018;http://www.el-nacional.com/noticias/educacion/sustitutos-que-despiertan-dudas_252826;2.2;;2.2.1;NO
80;EN   (16.10.2018)   EP   2.3.4..pdf;16.10.2018;Maestros en Cojedes marcharon para rechazar tabulador salarial;EN;17/10/2018;http://www.el-nacional.com/noticias/protestas/maestros-cojedes-marcharon-para-rechazar-tabulador-salarial_255940;2.3;;2.3.4;SI
81;EU (19.09.2018) EP  2.1.1.  Sindicatos de salud de Nueva Esparta se suman a la _toma nacional_ de la sede ministerial.pdf;19.09.2018;"Sindicatos de salud de Nueva Esparta se suman a la ""toma nacional"" de la sede ministerial";EU;19/9/2018;http://www.eluniversal.com/venezuela/21088/sindicatos-de-salud-de-nueva-esparta-se-suman-a-la-toma-nacional-de-la-sede-ministerial;2.1;;2.1.1;SI
82;EN  (04.10.2018)  EP   5.  18..pdf;04.10.2018;Espacio Público ante la CIDH: Venezuela tiene una crisis económica inmensa;EN;4/10/2018;http://www.el-nacional.com/noticias/mundo/espacio-publico-ante-cidh-venezuela-tiene-una-crisis-economica-inmensa_254343;5;18;;SI
83;EU  (07.10.2018)   3.1.1..pdf;07.10.2018;Semilla, electricidad y agua piden productores agrícolas;EU;7/10/2018;http://www.eluniversal.com/economia/22544/semilla-electricidad-y-agua-piden-productores-agricolas;3.1;;3.1.1;NO
84;EN  (28.09.2018)  1.2.2.  1.10.1.pdf;28.09.2018;Defensa de Requesens: Ministerio Público debe concluir su investigación;EN;28/9/2018;http://www.el-nacional.com/noticias/presos-politicos/defensa-requesens-ministerio-publico-debe-concluir-investigacion_253586;1.2;1.10;1.2.2, 1.10.1;NO
85;EN   (04.12.2018)   2.2.1..pdf;04.12.2018;Estudiantes de Bioanálisis rechazan presunto cierre técnico de sus escuelas;EU;4/12/2018;http://www.eluniversal.com/caracas/27311/estudiantes-de-bioanalisis-se-pronuncian-por-presunto-cierre-tecnico-de-sus-escuelas-a-nivel;2.2;;2.2.1;NO
86;EU   (03.12.2018)   1.1.1.6.   Familiares de presos ultimados en Caricuao denunciarán ante Fiscalía militar.pdf;03.12.2018;Familiares de presos ultimados en Caricuao denunciarán ante Fiscalía militar;EU;3/12/2018;http://www.eluniversal.com/sucesos/27241/familiares-de-presos-ultimados-en-caricuao-denunciaran-ante-fiscalia-militar;1.1;;1.1.1.6;NO
87;EN (21-09-2018) EP  2.3.4.   Maestros protestaron en el Ministerio de Educación este viernes.pdf;21-09-2018;Maestros protestaron en el Ministerio de Educación este viernes;EN;21/9/2018;http://www.el-nacional.com/noticias/protestas/maestros-protestaron-ministerio-educacion-este-viernes_252689;2.3;;2.3.4;SI
88;EN   (16.10.2018)   EP    2.3.4..pdf;16.10.2018;Protestan en la Concepción Palacios en defensa del contrato colectivo;EN;17/10/2018;http://www.el-nacional.com/noticias/protestas/protestan-concepcion-palacios-defensa-del-contrato-colectivo_255937;2.3;;2.3.4;SI
89;EN  (06.12.2018)  EP   2.8.1..pdf;06.12.2018;Habitantes de Carabobo protestaron por falta de gas doméstico;EN;6/12/2018;http://www.el-nacional.com/noticias/protestas/habitantes-carabobo-protestaronpor-falta-gas-domestico_262337;2.8;;2.8.1;SI
90;EN  (04.10.2018)   EP  5.  18..pdf;04.10.2018;OVSC ante la CIDH pidió cese de la criminalización de la protesta pacífica;EN;4/10/2018;http://www.el-nacional.com/noticias/politica/ovsc-ante-cidh-pidio-cese-criminalizacion-protesta-pacifica_254342;5;18;;SI
91;EU   (05-10-2018)   EP    2.3.4..pdf;05-10-2018;Por no recibirlos Frente Amplio en Nueva Esparta impone voto de censura a Inspector del Trabajo;EU;5/10/2018;http://www.eluniversal.com/venezuela/22454/por-no-recibirlos-frente-amplio-en-nueva-esparta-impone-voto-de-censura-a-inspector-del-trabajo;2.3;;2.3.4;SI
92;EN   (04.12.2018)    EP   1.2.2.  1.10.2.1..pdf;04.12.2018;Trabajadores exigieron a la Defensoría la liberación de Rubén González;EN;4/12/2018;http://www.el-nacional.com/noticias/politica/trabajadores-exigieron-defensoria-liberacion-ruben-gonzalez_262039;1.2;1.10;1.2.2, 1.10.2.1;SI
93;EN   (27.09.2018)   2.1.1.    La feminización del VIH en Venezuela sumergida en una crisis.pdf;27.09.2018;La feminización del VIH en Venezuela sumergida en una crisis;EN;27/9/2018;http://www.el-nacional.com/noticias/salud/feminizacion-del-vih-venezuela-sumergida-una-crisis_253363;2.1;;2.1.1;NO
